"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"64","Clint Capela","F-C","1610612745",86.1138866666667,23.2590133333333,59.9528986646716,1,2,3.30733644381362,1,"Kevin Love","F","1610612739"
"65","Kyrie Irving","G","1610612739",11.1730833333333,41.28454,29.2863541104908,19,2,6.41677820384619,0,"James Harden","G","1610612745"
"66","James Harden","G","1610612745",73.2891,36.1873666666667,35.9512726070174,19,0,4.58351810299686,0,"J.R. Smith","G-F","1610612739"
"67","Trevor Ariza","F","1610612745",70.091245,42.05623,31.3898097870989,25,0,7.74298749530825,0,"LeBron James","F","1610612739"
"68","J.R. Smith","G-F","1610612739",16.114565,3.228205,32.453907034709,25,0,5.10467117574923,0,"Marcus Thornton","F-G","1610612745"
"69","Dwight Howard","C","1610612745",88.87583,33.46659,65.6475263287423,8,2,5.36500336783678,0,"Timofey Mozgov","C","1610612739"
"70","Kyrie Irving","G","1610612739",12.6832433333333,30.0265966666667,36.8326016423653,9,0,3.03301446342487,1,"James Harden","G","1610612745"
"71","Kyrie Irving","G","1610612739",10.90338,47.82479,31.7101832639626,25,0,5.23505967731505,0,"Patrick Beverley","G","1610612745"
"72","Kevin Love","F","1610612739",7.20676,2.46612,29.3514507142826,24,3,8.50916644327163,0,"Marcus Thornton","F-G","1610612745"
"73","Patrick Beverley","G","1610612745",84.5402733333333,47.5162566666667,30.1388558632436,24,3,19.4768553560219,0,"Kyrie Irving","G","1610612739"
"74","Kevin Love","F","1610612739",27.66366,36.506675,27.8964512710106,26,0,7.6840966018931,0,"James Harden","G","1610612745"
"75","Marcus Thornton","F-G","1610612745",74.54341,45.33804,29.4326278745795,25,0,4.33002034067105,0,"Kevin Love","F","1610612739"
"76","J.R. Smith","G-F","1610612739",16.1534,2.68935,32.6106684297864,26,0,12.4179265154795,0,"James Harden","G","1610612745"
"77","Marcus Thornton","F-G","1610612745",84.658165,17.3939,34.2930358968448,4,0,3.26875653963782,2,"Timofey Mozgov","C","1610612739"
"78","Timofey Mozgov","C","1610612739",19.657355,38.84219,34.8660971091757,20,2,8.50543737417571,0,"Patrick Beverley","G","1610612745"
"79","Trevor Ariza","F","1610612745",65.2827533333333,38.9162533333333,30.5042149221209,25,3,10.7657460732295,0,"Kevin Love","F","1610612739"
"80","Iman Shumpert","G","1610612739",13.5895333333333,2.45068,31.5684135402179,25,0,6.64918309356454,0,"Corey Brewer","G-F","1610612745"
"81","Clint Capela","F-C","1610612745",83.8405366666667,23.20432,19.7742893779348,2,0,6.47262804277023,0,"LeBron James","F","1610612739"
"82","Clint Capela","F-C","1610612745",83.8405366666667,23.20432,19.7742893779348,4,0,6.47262804277023,0,"LeBron James","F","1610612739"
