"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"101","Reggie Jackson","G","1610612765",3.31478,23.383645,NA,1,2,0.837781997255252,1,"Nikola Vucevic","C","1610612753"
"102","Ersan Ilyasova","F","1610612765",28.07191,33.38106,33.4664347970541,27,3,12.0421436763809,0,"Aaron Gordon","F","1610612753"
"103","Stanley Johnson","F","1610612765",3.70523666666667,2.64799333333333,29.6946713324793,23,0,4.21802240099683,0,"Victor Oladipo","G","1610612753"
"104","Ersan Ilyasova","F","1610612765",8.77039,10.885,31.4912317275397,14,2,3.08386941935371,1,"Tobias Harris","F","1610612753"
"105","Victor Oladipo","G","1610612753",71.5478266666667,23.4787533333333,34.841856799772,15,2,5.12459527501649,0,"Stanley Johnson","F","1610612765"
"106","Marcus Morris","F","1610612765",6.65176333333333,8.31370666666667,32.5285574026273,17,2,3.04448865737749,1,"Tobias Harris","F","1610612753"
"107","Shabazz Napier","G","1610612753",86.8073166666667,47.43674,31.6057096023387,24,0,6.06576574928145,0,"Brandon Jennings","G","1610612765"
"108","Aron Baynes","F-C","1610612765",3.32218666666667,24.2086866666667,NA,1,2,3.00115791695472,1,"Jason Smith","F-C","1610612753"
"109","Andrew Nicholson","F","1610612753",65.4589833333333,35.5872466666667,32.5102170897704,25,3,7.03554894008833,0,"Aron Baynes","F-C","1610612765"
"110","Ersan Ilyasova","F","1610612765",11.745265,21.04503,30.8158213679308,7,0,2.41507860329638,2,"Jason Smith","F-C","1610612753"
"111","Victor Oladipo","G","1610612753",87.760355,26.591585,55.2801020505529,0,2,2.05400255708824,3,"Stanley Johnson","F","1610612765"
"112","Brandon Jennings","G","1610612765",30.6006666666667,25.5621933333333,29.9546899890206,27,3,3.21028342872132,1,"Shabazz Napier","G","1610612753"
"113","Andrew Nicholson","F","1610612753",81.25018,23.35565,52.176451420379,5,2,3.45576283054841,1,"Aron Baynes","F-C","1610612765"
"114","Jason Smith","F-C","1610612753",75.939125,8.262195,30.4175450906684,19,0,5.39416516762788,0,"Anthony Tolliver","F","1610612765"
"115","Stanley Johnson","F","1610612765",27.355095,35.04224,29.0064609102863,24,0,6.7722236881249,0,"Tobias Harris","F","1610612753"
"116","Jason Smith","F-C","1610612753",75.48565,9.614435,32.6786780336063,20,0,8.10399226260736,0,"Aron Baynes","F-C","1610612765"
"117","Brandon Jennings","G","1610612765",8.743965,30.13829,40.2301056314041,1,0,2.16163483521732,2,"Andrew Nicholson","F","1610612753"
