"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description"
"90","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,25,31,"00:11:15","00:00:45","00:00:24",101,"DET","miss","","","","","","",NA,"",NA,"Stanley Johnson",0,"","","missed","","Jump Shot",26,-137,223,11.3,66.7,"MISS Johnson 26' 3PT Jump Shot"
"92","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,25,31,"00:10:57","00:01:03","00:00:17",103,"ORL","miss","","","","","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Jump Shot",26,-184,188,43.4,23.8,"MISS Napier 26' 3PT Jump Shot"
"98","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,33,"00:10:35","00:01:25","00:00:07",112,"ORL","shot","Shabazz Napier","","","","","",NA,"",NA,"Jason Smith",2,"","","made","","Jump Shot",18,-92,160,34.2,21,"Smith 18' Jump Shot (2 PTS) (Napier 1 AST)"
"103","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,34,"00:10:15","00:01:45","00:00:08",118,"ORL","miss","","","","Anthony Tolliver","","",NA,"",NA,"Jason Smith",0,"","","missed","","Layup",2,-22,2,27.2,5.2,"MISS Smith 2' Layup, Tolliver BLOCK (1 BLK)"
"105","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,34,"00:10:13","00:01:47","00:00:01",120,"ORL","miss","","","","","","",NA,"",NA,"Jason Smith",0,"","","missed","","Layup",1,2,7,24.8,5.7,"MISS Smith 1' Layup"
"107","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,37,"00:10:05","00:01:55","00:00:06",122,"DET","shot","Brandon Jennings","","","","","",NA,"",NA,"Stanley Johnson",3,"","","made","","Jump Shot",22,223,11,47.3,87.9,"Johnson  3PT Jump Shot (6 PTS) (Jennings 1 AST)"
"108","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,37,"00:09:38","00:02:22","00:00:27",123,"ORL","miss","","","","","","",NA,"",NA,"Mario Hezonja",0,"","","missed","","Driving Layup",0,-2,2,25.2,5.2,"MISS Hezonja  Driving Layup"
"110","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,40,"00:09:29","00:02:31","00:00:07",125,"DET","shot","Brandon Jennings","","","","","",NA,"",NA,"Anthony Tolliver",3,"","","made","","Jump Shot",23,225,2,47.5,88.8,"Tolliver  3PT Jump Shot (3 PTS) (Jennings 2 AST)"
"111","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,40,"00:09:04","00:02:56","00:00:25",126,"ORL","miss","","","","","","",NA,"",NA,"Jason Smith",0,"","","missed","","Jump Shot",27,-27,273,27.7,32.3,"MISS Smith 27' 3PT Jump Shot"
"114","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Andrew Nicholson","Jason Smith","Aaron Gordon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,42,"00:08:46","00:03:14","00:00:06",129,"DET","shot","Stanley Johnson","","","","","",NA,"",NA,"Brandon Jennings",2,"","","made","","Layup",1,-6,0,24.4,89,"Jennings 1' Layup (3 PTS) (Johnson 2 AST)"
"118","=""0021500514""","2015-2016 Regular Season","2016-01-04","Andrew Nicholson","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,42,"00:08:25","00:03:35","00:00:16",134,"ORL","miss","","","","","","",NA,"",NA,"Andrew Nicholson",0,"","","missed","","Driving Layup",1,1,-5,24.9,4.5,"MISS Nicholson 1' Driving Layup"
"121","=""0021500514""","2015-2016 Regular Season","2016-01-04","Andrew Nicholson","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,42,"00:08:07","00:03:53","00:00:12",137,"ORL","miss","","","","","","",NA,"",NA,"Andrew Nicholson",0,"","","missed","","Jump Shot",27,-191,193,44.1,24.3,"MISS Nicholson 27' 3PT Jump Shot"
"123","=""0021500514""","2015-2016 Regular Season","2016-01-04","Andrew Nicholson","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,27,42,"00:07:58","00:04:02","00:00:09",139,"DET","miss","","","","Jason Smith","","",NA,"",NA,"Anthony Tolliver",0,"","","missed","","Jump Shot",25,218,129,46.8,76.1,"Smith BLOCK (1 BLK), MISS Tolliver 25' 3PT Jump Shot"
"129","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,30,42,"00:07:40","00:04:20","00:00:15",145,"DET","miss","","","","","","",NA,"",NA,"Stanley Johnson",0,"","","missed","","Driving Layup",0,1,0,25.1,89,"MISS Johnson  Driving Layup"
"131","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,30,42,"00:07:31","00:04:29","00:00:06",147,"ORL","miss","","","","Aron Baynes","","",NA,"",NA,"Jason Smith",0,"","","missed","","Layup",3,-29,7,27.9,5.7,"MISS Smith 3' Layup, Baynes BLOCK (1 BLK)"
"133","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,30,44,"00:07:23","00:04:37","00:00:06",149,"DET","shot","Brandon Jennings","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",2,"","","made","","Dunk",0,0,1,25,88.9,"Caldwell-Pope  Dunk (10 PTS) (Jennings 3 AST)"
"134","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,32,44,"00:07:02","00:04:58","00:00:21",150,"ORL","shot","Victor Oladipo","","","","","",NA,"",NA,"Jason Smith",2,"","","made","","Jump Shot",20,-161,115,41.1,16.5,"Smith 20' Jump Shot (7 PTS) (Oladipo 2 AST)"
